WORKER_NAME,NUM_REQUESTS,WORKERS,LOAD_BALANCER,AVG_DELAY_QUEUE,NUMBER_QUEUE,SERVER_UTILIZATION,SIMULATION_TIME,SAMPLES,SIZE,INTER_ARRIVAL,READ_RATIO,SAS_SIZE,DISTRIBUTION,MEAN,STD,CONCURRENCY,SERVICE_TIME,AVG_INTERARRIVAL,NUM_DELAYS,TEST_ID
worker-0,980,1,ROUND-ROBIN,36572.007812,24.679827,0.999390,1466881.625000,1000,500,3000,80,549093,UNIFORM,10,5,1,1500,1523.0710612870275,980,0
worker-0,490,2,ROUND-ROBIN,1453.097412,0.512498,0.526556,1389307.875000,1000,500,3000,80,549093,UNIFORM,10,5,1,1500,3092.9587055214724,490,1
worker-1,490,2,ROUND-ROBIN,1456.281006,0.514233,0.527184,1387653.125000,1000,500,3000,80,549093,UNIFORM,10,5,1,1500,3089.272944785276,490,1
worker-0,327,3,ROUND-ROBIN,787.403076,0.202502,0.372593,1271499.750000,1000,500,3000,80,549093,UNIFORM,10,5,1,1500,4650.213450920245,327,2
worker-1,327,3,ROUND-ROBIN,788.853516,0.203186,0.373164,1269552.500000,1000,500,3000,80,549093,UNIFORM,10,5,1,1500,4643.089665644172,327,2
worker-2,326,3,ROUND-ROBIN,791.743713,0.204192,0.374091,1264047.875000,1000,500,3000,80,549093,UNIFORM,10,5,1,1500,4640.786000000001,326,2
worker-0,245,4,ROUND-ROBIN,411.462341,0.081048,0.272007,1243812.125000,1000,500,3000,80,549093,UNIFORM,10,5,1,1500,6274.6064344262295,245,3
worker-1,245,4,ROUND-ROBIN,412.099548,0.081265,0.272315,1242406.125000,1000,500,3000,80,549093,UNIFORM,10,5,1,1500,6267.511405737705,245,3
worker-2,245,4,ROUND-ROBIN,411.775696,0.081155,0.272159,1243121.125000,1000,500,3000,80,549093,UNIFORM,10,5,1,1500,6271.115098360656,245,3
worker-3,245,4,ROUND-ROBIN,411.846802,0.081179,0.272192,1242968.250000,1000,500,3000,80,549093,UNIFORM,10,5,1,1500,6270.349196721311,245,3
worker-0,196,5,ROUND-ROBIN,333.623077,0.052001,0.210162,1257485.000000,1000,500,3000,80,549093,UNIFORM,10,5,1,1500,7709.819476923077,196,4
worker-1,196,5,ROUND-ROBIN,333.390137,0.051935,0.210044,1258188.000000,1000,500,3000,80,549093,UNIFORM,10,5,1,1500,7714.13061025641,196,4
worker-2,196,5,ROUND-ROBIN,333.484680,0.051962,0.210093,1257893.375000,1000,500,3000,80,549093,UNIFORM,10,5,1,1500,7712.320020512821,196,4
worker-3,196,5,ROUND-ROBIN,334.115234,0.052140,0.210413,1255985.125000,1000,500,3000,80,549093,UNIFORM,10,5,1,1500,7700.621456410256,196,4
worker-4,196,5,ROUND-ROBIN,334.179443,0.052158,0.210446,1255788.000000,1000,500,3000,80,549093,UNIFORM,10,5,1,1500,7699.412051282052,196,4
