WORKER_NAME,NUM_REQUESTS,WORKERS,LOAD_BALANCER,AVG_DELAY_QUEUE,NUMBER_QUEUE,SERVER_UTILIZATION,SIMULATION_TIME,SAMPLES,SIZE,INTER_ARRIVAL,READ_RATIO,SAS_SIZE,DISTRIBUTION,MEAN,STD,CONCURRENCY,SERVICE_TIME,AVG_INTERARRIVAL,NUM_DELAYS,TEST_ID
worker-0,1022,1,ROUND-ROBIN,65627.757812,47.013687,0.999682,1475444.000000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,1406.7283849167482,1022,0
worker-0,521,2,ROUND-ROBIN,1639.721558,0.640194,0.571355,1334431.125000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,2783.20705,521,1
worker-1,520,2,ROUND-ROBIN,1643.905273,0.640945,0.571446,1333703.000000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,2782.418612716763,520,1
worker-0,345,3,ROUND-ROBIN,760.091492,0.203492,0.372158,1288659.875000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,4405.242811046512,345,2
worker-1,344,3,ROUND-ROBIN,762.867004,0.205406,0.373821,1277594.875000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,4402.615542274053,344,2
worker-2,344,3,ROUND-ROBIN,761.782166,0.204880,0.373394,1279056.625000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,4407.652673469388,344,2
worker-0,257,4,ROUND-ROBIN,493.142212,0.109818,0.301303,1154069.875000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,5594.243484375,257,3
worker-1,257,4,ROUND-ROBIN,492.834534,0.109690,0.301141,1154693.500000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,5597.267390625,257,3
worker-2,257,4,ROUND-ROBIN,492.183838,0.109420,0.300796,1156016.125000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,5603.68086328125,257,3
worker-3,257,4,ROUND-ROBIN,492.353790,0.109490,0.300886,1155671.500000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,5602.00865625,257,3
worker-0,206,5,ROUND-ROBIN,314.415466,0.052995,0.217552,1222185.750000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,7314.7982146341465,206,4
worker-1,206,5,ROUND-ROBIN,314.620361,0.053058,0.217669,1221529.000000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,7310.869263414635,206,4
worker-2,206,5,ROUND-ROBIN,315.037292,0.053179,0.217875,1220372.500000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,7303.942424390245,206,4
worker-3,205,5,ROUND-ROBIN,316.669220,0.053297,0.217781,1218021.875000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,7302.372426470589,205,4
worker-4,205,5,ROUND-ROBIN,316.420166,0.053225,0.217659,1218705.750000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,7306.473602941178,205,4
worker-0,1017,1,RANDOM,49344.945312,34.697975,0.999537,1466999.375000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,1441.6171387795275,1017,0
worker-0,527,2,RANDOM,1633.406738,0.640974,0.572835,1342964.750000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,2777.5374961977186,527,1
worker-1,504,2,RANDOM,1514.636963,0.568508,0.548284,1342773.250000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,2909.1647236580516,504,1
worker-0,349,3,RANDOM,846.308044,0.239864,0.402507,1231369.500000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,4104.221089080461,349,2
worker-1,376,3,RANDOM,956.642944,0.287058,0.433312,1253816.625000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,3813.0210693333333,376,2
worker-2,330,3,RANDOM,786.701172,0.216780,0.384766,1197581.625000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,4345.568449848024,330,2
worker-0,260,4,RANDOM,495.427521,0.111465,0.303752,1155618.500000,1000,500,3000,80,549093,NORMAL,10,5,1,1450,5563.126791505792,260,3
